MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:56:19


[COMMENT]
10_C_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-3,00	-1,00	4,00	13,00	3,00	-2,00	2,00	-2,00	6,00	-17,00	-11,00	13,00	4,00	-7706,00	-10,00	-2,00
-4,00	-3,00	-2,00	10,00	0,00	-7,00	3,00	-8,00	7,00	-7,00	11,00	28,00	2,00	-7716,00	-9,00	-8,00
-5,00	-4,00	-6,00	13,00	4,00	-8,00	5,00	-7,00	2,00	2,00	16,00	32,00	2,00	-7722,00	-3,00	-20,00
0,00	-7,00	-1,00	9,00	0,00	-2,00	0,00	-3,00	6,00	0,00	9,00	14,00	7,00	-7730,00	-6,00	3,00
-4,00	-2,00	0,00	10,00	3,00	-1,00	2,00	6,00	7,00	3,00	3,00	4,00	7,00	-7738,00	-10,00	27,00
-6,00	-8,00	0,00	10,00	5,00	-5,00	2,00	3,00	8,00	6,00	-1,00	17,00	7,00	-7746,00	-13,00	19,00
0,00	-4,00	0,00	9,00	4,00	-2,00	-4,00	1,00	10,00	11,00	-5,00	17,00	10,00	-7754,00	-6,00	10,00
0,00	-2,00	6,00	10,00	2,00	-9,00	-6,00	3,00	8,00	8,00	-3,00	0,00	6,00	-7760,00	-6,00	8,00
-2,00	-7,00	14,00	10,00	0,00	-9,00	-3,00	0,00	6,00	0,00	4,00	-17,00	9,00	-7768,00	-10,00	6,00
-2,00	-1,00	14,00	14,00	4,00	-8,00	-2,00	-13,00	7,00	2,00	6,00	-15,00	7,00	-7775,00	-10,00	10,00
-6,00	-5,00	3,00	12,00	1,00	-8,00	0,00	-8,00	12,00	-8,00	6,00	-12,00	4,00	-7783,00	-7,00	11,00
-8,00	-1,00	0,00	3,00	4,00	-1,00	0,00	0,00	6,00	-17,00	4,00	-3,00	6,00	-7789,00	-5,00	14,00
-4,00	-1,00	-13,00	4,00	1,00	-1,00	0,00	-7,00	3,00	-18,00	25,00	-14,00	9,00	-7798,00	-4,00	16,00
0,00	-4,00	-12,00	6,00	0,00	-4,00	-2,00	-18,00	7,00	-11,00	25,00	-13,00	1,00	-7807,00	-2,00	18,00
-5,00	0,00	-5,00	8,00	4,00	-2,00	-4,00	-18,00	2,00	-10,00	15,00	10,00	5,00	-7813,00	-3,00	15,00
-2,00	10,00	6,00	4,00	2,00	-7,00	-4,00	-13,00	6,00	-1,00	14,00	16,00	7,00	-7818,00	-3,00	9,00
-4,00	14,00	3,00	10,00	0,00	-6,00	-4,00	-1,00	4,00	11,00	2,00	18,00	1,00	-7827,00	-8,00	11,00
-8,00	6,00	-1,00	7,00	0,00	-5,00	-5,00	3,00	4,00	7,00	-8,00	10,00	6,00	-7831,00	-6,00	17,00
-12,00	-6,00	-6,00	4,00	2,00	-3,00	0,00	3,00	1,00	4,00	1,00	-4,00	12,00	-7837,00	-3,00	11,00
